"";"CapBat";"Autonomia";"DistEixos";"CapMax";"Cambio";"NumAssentos";"ConsMedio"
"5";1;0,908045977011494;1;1;"3";"5";23,85
"8";0,0537634408602151;0,32183908045977;0,0820512820512818;0,240924092409241;"2";"4";14,3
"9";0,731182795698925;0,982758620689655;0,835897435897435;0,570957095709571;"2";"5";18,8
"15";0,444444444444444;0,919540229885057;0,158974358974359;0,389438943894389;"1";"5";15,4
"17";0;0;0,415384615384615;0,399339933993399;"1";"5";15,3
"22";0,731182795698925;0,718390804597701;0,858974358974359;0,257425742574257;"3";"5";21,85
"26";0,193548387096774;0,275862068965517;0;0;"1";"5";16,65
"30";0,971326164874552;1;0,928205128205128;0,966996699669967;"3";"4";24,1
"33";0,229390681003584;0,609195402298851;0,128205128205128;0,191419141914191;"1";"5";16,5
